name,X,Y,Z,Soil_ID,,,,,
1G,667276.2381,1304895.087,998,1,,,,,
1G,667276.2381,1304895.087,985.808,3,,,,,
1G,667276.2381,1304895.087,967.52,2,,,,,
1G,667276.2381,1304895.087,967.42,3,,,,,
1G,667276.2381,1304895.087,809.024,2,,,,,
1G,667276.2381,1304895.087,808.924,3,,,,,
1G,667276.2381,1304895.087,450,3,,,,,
2G,667752.6971,1303743.19,929,1,,,,,Soil – 1
2G,667752.6971,1303743.19,904.616,3,,,,,Water -2
2G,667752.6971,1303743.19,898.52,2,,,,,Rock -3
2G,667752.6971,1303743.19,898.42,3,,,,,
2G,667752.6971,1303743.19,800.984,2,,,,,
2G,667752.6971,1303743.19,800.884,3,,,,,
2G,667752.6971,1303743.19,450,3,,,,,
3G,668095.7024,1301158.29,911,1,,,,,
3G,668095.7024,1301158.29,889.664,3,,,,,
3G,668095.7024,1301158.29,828.704,2,,,,,
3G,668095.7024,1301158.29,828.604,3,,,,,
3G,668095.7024,1301158.29,807.368,2,,,,,
3G,668095.7024,1301158.29,807.268,3,,,,,
3G,668095.7024,1301158.29,450,3,,,,,
4G,668322.3515,1306324.743,969,1,,,,,
4G,668322.3515,1306324.743,950.712,3,,,,,
4G,668322.3515,1306324.743,932.424,2,,,,,
4G,668322.3515,1306324.743,932.324,3,,,,,
4G,668322.3515,1306324.743,853.176,2,,,,,
4G,668322.3515,1306324.743,853.076,3,,,,,
4G,668322.3515,1306324.743,810.504,2,,,,,
4G,668322.3515,1306324.743,810.404,3,,,,,
4G,668322.3515,1306324.743,450,3,,,,,
5G,668674.3447,1303035.808,911,1,,,,,
5G,668674.3447,1303035.808,886.616,3,,,,,
5G,668674.3447,1303035.808,883.568,2,,,,,
5G,668674.3447,1303035.808,883.468,3,,,,,
5G,668674.3447,1303035.808,450,3,,,,,
6G,668821.244,1305234.557,947,1,,,,,
6G,668821.244,1305234.557,934.808,3,,,,,
6G,668821.244,1305234.557,922.616,2,,,,,
6G,668821.244,1305234.557,922.516,3,,,,,
6G,668821.244,1305234.557,800.696,2,,,,,
6G,668821.244,1305234.557,800.596,3,,,,,
6G,668821.244,1305234.557,751.928,2,,,,,
6G,668821.244,1305234.557,751.828,3,,,,,
6G,668821.244,1305234.557,450,3,,,,,
7G,668870.0225,1300073.274,898,1,,,,,
7G,668870.0225,1300073.274,879.712,3,,,,,
7G,668870.0225,1300073.274,873.616,2,,,,,
7G,668870.0225,1300073.274,873.516,3,,,,,
7G,668870.0225,1300073.274,824.848,2,,,,,
7G,668870.0225,1300073.274,824.748,3,,,,,
7G,668870.0225,1300073.274,450,3,,,,,
8G,668991.9207,1300913.586,875,1,,,,,
8G,668991.9207,1300913.586,868.904,3,,,,,
8G,668991.9207,1300913.586,759.176,2,,,,,
8G,668991.9207,1300913.586,759.076,3,,,,,
8G,668991.9207,1300913.586,450,3,,,,,
9G,668999.4455,1301672.054,876,1,,,,,
9G,668999.4455,1301672.054,851.616,3,,,,,
9G,668999.4455,1301672.054,802.848,2,,,,,
9G,668999.4455,1301672.054,802.748,3,,,,,
9G,668999.4455,1301672.054,763.224,2,,,,,
9G,668999.4455,1301672.054,763.124,3,,,,,
9G,668999.4455,1301672.054,450,3,,,,,
10G,669232.6054,1303938.31,917,1,,,,,
10G,669232.6054,1303938.31,901.76,3,,,,,
10G,669232.6054,1303938.31,892.616,2,,,,,
10G,669232.6054,1303938.31,892.516,3,,,,,
10G,669232.6054,1303938.31,450,3,,,,,
11G,669310.1661,1298557.165,1097,1,,,,,
11G,669310.1661,1298557.165,1078.712,3,,,,,
11G,669310.1661,1298557.165,1072.616,2,,,,,
11G,669310.1661,1298557.165,1072.516,3,,,,,
11G,669310.1661,1298557.165,908.024,2,,,,,
11G,669310.1661,1298557.165,907.924,3,,,,,
11G,669310.1661,1298557.165,450,3,,,,,
12G,669472.4171,1301289.512,883,1,,,,,
12G,669472.4171,1301289.512,864.712,3,,,,,
12G,669472.4171,1301289.512,828.136,2,,,,,
12G,669472.4171,1301289.512,828.036,3,,,,,
12G,669472.4171,1301289.512,450,3,,,,,
13G,669588.4494,1303267.185,879,1,,,,,
13G,669588.4494,1303267.185,854.616,3,,,,,
13G,669588.4494,1303267.185,848.52,2,,,,,
13G,669588.4494,1303267.185,848.42,3,,,,,
13G,669588.4494,1303267.185,450,3,,,,,
14G,669770.9944,1302094.918,874,1,,,,,
14G,669770.9944,1302094.918,851.14,3,,,,,
14G,669770.9944,1302094.918,849.616,2,,,,,
14G,669770.9944,1302094.918,849.516,3,,,,,
14G,669770.9944,1302094.918,450,3,,,,,
15G,669896.8714,1305521.747,922,1,,,,,
15G,669896.8714,1305521.747,903.712,3,,,,,
15G,669896.8714,1305521.747,830.56,2,,,,,
15G,669896.8714,1305521.747,830.46,3,,,,,
15G,669896.8714,1305521.747,824.464,2,,,,,
15G,669896.8714,1305521.747,824.364,3,,,,,
15G,669896.8714,1305521.747,450,3,,,,,
16G,669937.5887,1308255.081,901,1,,,,,
16G,669937.5887,1308255.081,888.808,3,,,,,
16G,669937.5887,1308255.081,864.424,2,,,,,
16G,669937.5887,1308255.081,864.324,3,,,,,
16G,669937.5887,1308255.081,846.136,2,,,,,
16G,669937.5887,1308255.081,846.036,3,,,,,
16G,669937.5887,1308255.081,450,3,,,,,
17G,670223.0233,1298978.225,977,1,,,,,
17G,670223.0233,1298978.225,958.712,3,,,,,
17G,670223.0233,1298978.225,952.616,2,,,,,
17G,670223.0233,1298978.225,952.516,3,,,,,
17G,670223.0233,1298978.225,450,3,,,,,
18G,670300.8767,1302833.399,864,1,,,,,
18G,670300.8767,1302833.399,845.712,3,,,,,
18G,670300.8767,1302833.399,839.616,2,,,,,
18G,670300.8767,1302833.399,839.516,3,,,,,
18G,670300.8767,1302833.399,450,3,,,,,
19G,670514.0559,1299919.686,900,1,,,,,
19G,670514.0559,1299919.686,875.616,3,,,,,
19G,670514.0559,1299919.686,832.944,2,,,,,
19G,670514.0559,1299919.686,832.844,3,,,,,
19G,670514.0559,1299919.686,450,3,,,,,
20G,670629.1084,1297954.975,955,1,,,,,
20G,670629.1084,1297954.975,930.616,3,,,,,
20G,670629.1084,1297954.975,918.424,2,,,,,
20G,670629.1084,1297954.975,918.324,3,,,,,
20G,670629.1084,1297954.975,781.264,2,,,,,
20G,670629.1084,1297954.975,781.164,3,,,,,
20G,670629.1084,1297954.975,450,3,,,,,
21G,670705.936,1301446.018,863,1,,,,,
21G,670705.936,1301446.018,838.616,3,,,,,
21G,670705.936,1301446.018,832.52,2,,,,,
21G,670705.936,1301446.018,832.42,3,,,,,
21G,670705.936,1301446.018,734.984,2,,,,,
21G,670705.936,1301446.018,734.884,3,,,,,
21G,670705.936,1301446.018,450,3,,,,,
22G,670742.932,1304094.201,911,1,,,,,
22G,670742.932,1304094.201,892.712,3,,,,,
22G,670742.932,1304094.201,874.424,2,,,,,
22G,670742.932,1304094.201,874.324,3,,,,,
22G,670742.932,1304094.201,450,3,,,,,
23G,670892.0503,1298672.359,922,1,,,,,
23G,670892.0503,1298672.359,903.712,3,,,,,
23G,670892.0503,1298672.359,903.712,2,,,,,
23G,670892.0503,1298672.359,903.612,3,,,,,
23G,670892.0503,1298672.359,763.504,2,,,,,
23G,670892.0503,1298672.359,763.404,3,,,,,
23G,670892.0503,1298672.359,450,3,,,,,
24G,670997.6059,1310529.498,904,1,,,,,
24G,670997.6059,1310529.498,885.712,3,,,,,
24G,670997.6059,1310529.498,879.616,2,,,,,
24G,670997.6059,1310529.498,879.516,3,,,,,
24G,670997.6059,1310529.498,450,3,,,,,
25G,671157.9708,1302673.319,870,1,,,,,
25G,671157.9708,1302673.319,863.904,3,,,,,
25G,671157.9708,1302673.319,815.136,2,,,,,
25G,671157.9708,1302673.319,815.036,3,,,,,
25G,671157.9708,1302673.319,787.704,2,,,,,
25G,671157.9708,1302673.319,787.604,3,,,,,
25G,671157.9708,1302673.319,450,3,,,,,
26G,671187.0092,1305970.539,879,1,,,,,
26G,671187.0092,1305970.539,854.616,3,,,,,
26G,671187.0092,1305970.539,842.424,2,,,,,
26G,671187.0092,1305970.539,842.324,3,,,,,
26G,671187.0092,1305970.539,450,3,,,,,
27G,671189.7367,1313126.6,874,1,,,,,
27G,671189.7367,1313126.6,861.808,3,,,,,
27G,671189.7367,1313126.6,791.704,2,,,,,
27G,671189.7367,1313126.6,791.604,3,,,,,
27G,671189.7367,1313126.6,745.984,2,,,,,
27G,671189.7367,1313126.6,745.884,3,,,,,
27G,671189.7367,1313126.6,450,3,,,,,
28G,671480.3186,1304647.448,889,1,,,,,
28G,671480.3186,1304647.448,876.808,3,,,,,
28G,671480.3186,1304647.448,797.56,2,,,,,
28G,671480.3186,1304647.448,797.46,3,,,,,
28G,671480.3186,1304647.448,450,3,,,,,
29G,671535.6316,1299720.888,908,1,,,,,
29G,671535.6316,1299720.888,895.808,3,,,,,
29G,671535.6316,1299720.888,850.088,2,,,,,
29G,671535.6316,1299720.888,849.988,3,,,,,
29G,671535.6316,1299720.888,734.264,2,,,,,
29G,671535.6316,1299720.888,734.164,3,,,,,
29G,671535.6316,1299720.888,450,3,,,,,
30G,671666.0429,1303487.243,896,1,,,,,
30G,671666.0429,1303487.243,883.808,3,,,,,
30G,671666.0429,1303487.243,880.76,2,,,,,
30G,671666.0429,1303487.243,880.66,3,,,,,
30G,671666.0429,1303487.243,822.848,2,,,,,
30G,671666.0429,1303487.243,822.748,3,,,,,
30G,671666.0429,1303487.243,450,3,,,,,
31G,672104.5218,1299342.518,942,1,,,,,
31G,672104.5218,1299342.518,928.284,3,,,,,
31G,672104.5218,1299342.518,862.752,2,,,,,
31G,672104.5218,1299342.518,862.652,3,,,,,
31G,672104.5218,1299342.518,450,3,,,,,
32G,672153.5795,1312223.758,865,1,,,,,
32G,672153.5795,1312223.758,840.616,3,,,,,
32G,672153.5795,1312223.758,840.516,2,,,,,
32G,672153.5795,1312223.758,834.52,3,,,,,
32G,672153.5795,1312223.758,761.368,2,,,,,
32G,672153.5795,1312223.758,761.268,3,,,,,
32G,672153.5795,1312223.758,450,3,,,,,
33G,672166.6755,1300265.445,859,1,,,,,
33G,672166.6755,1300265.445,852.904,3,,,,,
33G,672166.6755,1300265.445,776.704,2,,,,,
33G,672166.6755,1300265.445,776.604,3,,,,,
33G,672166.6755,1300265.445,450,3,,,,,
34G,672345.3909,1305535.483,880,1,,,,,
34G,672345.3909,1305535.483,855.616,3,,,,,
34G,672345.3909,1305535.483,837.328,2,,,,,
34G,672345.3909,1305535.483,837.228,3,,,,,
34G,672345.3909,1305535.483,450,3,,,,,
35G,672409.5737,1301374.221,864,1,,,,,
35G,672409.5737,1301374.221,845.712,3,,,,,
35G,672409.5737,1301374.221,839.616,2,,,,,
35G,672409.5737,1301374.221,839.516,3,,,,,
35G,672409.5737,1301374.221,735.984,2,,,,,
35G,672409.5737,1301374.221,735.884,3,,,,,
35G,672409.5737,1301374.221,693.312,2,,,,,
35G,672409.5737,1301374.221,693.212,3,,,,,
35G,672409.5737,1301374.221,450,3,,,,,
36G,672412.4288,1308938.022,918,1,,,,,
36G,672412.4288,1308938.022,893.616,3,,,,,
36G,672412.4288,1308938.022,887.52,2,,,,,
36G,672412.4288,1308938.022,887.42,3,,,,,
36G,672412.4288,1308938.022,884.472,2,,,,,
36G,672412.4288,1308938.022,884.372,3,,,,,
36G,672412.4288,1308938.022,450,3,,,,,
37G,672461.9879,1299640.664,880,1,,,,,
37G,672461.9879,1299640.664,861.712,3,,,,,
37G,672461.9879,1299640.664,843.424,2,,,,,
37G,672461.9879,1299640.664,843.324,3,,,,,
37G,672461.9879,1299640.664,450,3,,,,,
38G,672477.351,1311375.17,854,1,,,,,
38G,672477.351,1311375.17,829.616,3,,,,,
38G,672477.351,1311375.17,823.52,2,,,,,
38G,672477.351,1311375.17,823.42,3,,,,,
38G,672477.351,1311375.17,450,3,,,,,
39G,672503.067,1309750.939,871,1,,,,,
39G,672503.067,1309750.939,846.616,3,,,,,
39G,672503.067,1309750.939,834.424,2,,,,,
39G,672503.067,1309750.939,834.324,3,,,,,
39G,672503.067,1309750.939,450,3,,,,,
40G,672544.0518,1307032.053,872,1,,,,,
40G,672544.0518,1307032.053,859.808,3,,,,,
40G,672544.0518,1307032.053,856.76,2,,,,,
40G,672544.0518,1307032.053,856.66,3,,,,,
40G,672544.0518,1307032.053,823.232,2,,,,,
40G,672544.0518,1307032.053,823.132,3,,,,,
40G,672544.0518,1307032.053,450,3,,,,,
41G,672548.1476,1313887.348,862,1,,,,,
41G,672548.1476,1313887.348,849.808,3,,,,,
41G,672548.1476,1313887.348,825.424,2,,,,,
41G,672548.1476,1313887.348,825.324,3,,,,,
41G,672548.1476,1313887.348,807.136,2,,,,,
41G,672548.1476,1313887.348,807.036,3,,,,,
41G,672548.1476,1313887.348,450,3,,,,,
42G,672760.8956,1304529.266,874,1,,,,,
42G,672760.8956,1304529.266,861.808,3,,,,,
42G,672760.8956,1304529.266,819.136,2,,,,,
42G,672760.8956,1304529.266,819.036,3,,,,,
42G,672760.8956,1304529.266,776.464,2,,,,,
42G,672760.8956,1304529.266,776.364,3,,,,,
42G,672760.8956,1304529.266,450,3,,,,,
43G,673227.3746,1298938.234,898,1,,,,,
43G,673227.3746,1298938.234,873.616,3,,,,,
43G,673227.3746,1298938.234,861.424,2,,,,,
43G,673227.3746,1298938.234,861.324,3,,,,,
43G,673227.3746,1298938.234,450,3,,,,,
44G,673470.041,1314323.127,872,1,,,,,
44G,673470.041,1314323.127,841.52,3,,,,,
44G,673470.041,1314323.127,835.424,2,,,,,
44G,673470.041,1314323.127,835.324,3,,,,,
44G,673470.041,1314323.127,450,3,,,,,
45G,673472.4462,1310426.303,853,1,,,,,
45G,673472.4462,1310426.303,834.712,3,,,,,
45G,673472.4462,1310426.303,828.616,2,,,,,
45G,673472.4462,1310426.303,828.516,3,,,,,
45G,673472.4462,1310426.303,450,3,,,,,
46G,673508.3836,1303969.408,896,1,,,,,
46G,673508.3836,1303969.408,868.568,3,,,,,
46G,673508.3836,1303969.408,841.136,2,,,,,
46G,673508.3836,1303969.408,841.036,3,,,,,
46G,673508.3836,1303969.408,450,3,,,,,
47G,673601.5695,1297967.509,932,1,,,,,
47G,673601.5695,1297967.509,901.52,3,,,,,
47G,673601.5695,1297967.509,849.704,2,,,,,
47G,673601.5695,1297967.509,849.604,3,,,,,
47G,673601.5695,1297967.509,450,3,,,,,
48G,673673.7729,1313104.121,844,1,,,,,
48G,673673.7729,1313104.121,819.616,3,,,,,
48G,673673.7729,1313104.121,819.616,2,,,,,
48G,673673.7729,1313104.121,819.516,3,,,,,
48G,673673.7729,1313104.121,813.52,2,,,,,
48G,673673.7729,1313104.121,813.42,3,,,,,
48G,673673.7729,1313104.121,789.136,2,,,,,
48G,673673.7729,1313104.121,789.036,3,,,,,
48G,673673.7729,1313104.121,450,3,,,,,
49G,673694.7117,1301853.535,863,1,,,,,
49G,673694.7117,1301853.535,850.808,3,,,,,
49G,673694.7117,1301853.535,838.616,2,,,,,
49G,673694.7117,1301853.535,838.516,3,,,,,
49G,673694.7117,1301853.535,450,3,,,,,
50G,673786.9157,1327403.467,742,1,,,,,
50G,673786.9157,1327403.467,720.664,3,,,,,
50G,673786.9157,1327403.467,714.568,2,,,,,
50G,673786.9157,1327403.467,714.468,3,,,,,
50G,673786.9157,1327403.467,668.848,2,,,,,
50G,673786.9157,1327403.467,668.748,3,,,,,
50G,673786.9157,1327403.467,450,3,,,,,
51G,673805.8733,1299652.432,863,1,,,,,
51G,673805.8733,1299652.432,832.52,3,,,,,
51G,673805.8733,1299652.432,808.136,2,,,,,
51G,673805.8733,1299652.432,808.036,3,,,,,
51G,673805.8733,1299652.432,768.512,2,,,,,
51G,673805.8733,1299652.432,768.412,3,,,,,
51G,673805.8733,1299652.432,450,3,,,,,
52G,673956.7922,1305392.279,865,1,,,,,
52G,673956.7922,1305392.279,840.616,3,,,,,
52G,673956.7922,1305392.279,828.424,2,,,,,
52G,673956.7922,1305392.279,828.324,3,,,,,
52G,673956.7922,1305392.279,782.704,2,,,,,
52G,673956.7922,1305392.279,782.604,3,,,,,
52G,673956.7922,1305392.279,450,3,,,,,
53G,674031.3711,1315682.583,848,1,,,,,
53G,674031.3711,1315682.583,823.616,3,,,,,
53G,674031.3711,1315682.583,820.568,2,,,,,
53G,674031.3711,1315682.583,820.468,3,,,,,
53G,674031.3711,1315682.583,450,3,,,,,
54G,674105.3576,1297575.149,905,1,,,,,
54G,674105.3576,1297575.149,898.904,3,,,,,
54G,674105.3576,1297575.149,822.704,2,,,,,
54G,674105.3576,1297575.149,822.604,3,,,,,
54G,674105.3576,1297575.149,776.984,2,,,,,
54G,674105.3576,1297575.149,776.884,3,,,,,
54G,674105.3576,1297575.149,450,3,,,,,
55G,674106.2971,1300623.978,857,1,,,,,
55G,674106.2971,1300623.978,832.616,3,,,,,
55G,674106.2971,1300623.978,820.424,2,,,,,
55G,674106.2971,1300623.978,820.324,3,,,,,
55G,674106.2971,1300623.978,450,3,,,,,
56G,674203.3874,1328427.134,745,1,,,,,
56G,674203.3874,1328427.134,726.712,3,,,,,
56G,674203.3874,1328427.134,708.424,2,,,,,
56G,674203.3874,1328427.134,708.324,3,,,,,
56G,674203.3874,1328427.134,450,3,,,,,
57G,674291.6876,1326316.491,771,1,,,,,
57G,674291.6876,1326316.491,755.76,3,,,,,
57G,674291.6876,1326316.491,722.232,2,,,,,
57G,674291.6876,1326316.491,722.132,3,,,,,
57G,674291.6876,1326316.491,703.944,2,,,,,
57G,674291.6876,1326316.491,703.844,3,,,,,
57G,674291.6876,1326316.491,450,3,,,,,
58G,674412.9454,1303021.081,883,1,,,,,
58G,674412.9454,1303021.081,870.808,3,,,,,
58G,674412.9454,1303021.081,855.568,2,,,,,
58G,674412.9454,1303021.081,855.468,3,,,,,
58G,674412.9454,1303021.081,450,3,,,,,
59G,674443.7112,1299004.998,890,1,,,,,
59G,674443.7112,1299004.998,877.808,3,,,,,
59G,674443.7112,1299004.998,761.984,2,,,,,
59G,674443.7112,1299004.998,761.884,3,,,,,
59G,674443.7112,1299004.998,450,3,,,,,
60G,674595.1838,1304821.752,874,1,,,,,
60G,674595.1838,1304821.752,855.712,3,,,,,
60G,674595.1838,1304821.752,791.704,2,,,,,
60G,674595.1838,1304821.752,791.604,3,,,,,
60G,674595.1838,1304821.752,450,3,,,,,
61G,674724.5605,1314584.964,843,1,,,,,
61G,674724.5605,1314584.964,818.616,3,,,,,
61G,674724.5605,1314584.964,815.568,2,,,,,
61G,674724.5605,1314584.964,815.468,3,,,,,
61G,674724.5605,1314584.964,450,3,,,,,
62G,674740.8562,1318737.535,849,1,,,,,
62G,674740.8562,1318737.535,830.712,3,,,,,
62G,674740.8562,1318737.535,810.9,2,,,,,
62G,674740.8562,1318737.535,810.8,3,,,,,
62G,674740.8562,1318737.535,647.832,2,,,,,
62G,674740.8562,1318737.535,647.732,3,,,,,
62G,674740.8562,1318737.535,450,3,,,,,
63G,674749.4041,1327512.044,748,1,,,,,
63G,674749.4041,1327512.044,723.616,3,,,,,
63G,674749.4041,1327512.044,717.52,2,,,,,
63G,674749.4041,1327512.044,717.42,3,,,,,
63G,674749.4041,1327512.044,665.704,2,,,,,
63G,674749.4041,1327512.044,665.604,3,,,,,
63G,674749.4041,1327512.044,450,3,,,,,
64G,674760.2256,1313771.062,827,1,,,,,
64G,674760.2256,1313771.062,796.52,3,,,,,
64G,674760.2256,1313771.062,790.424,2,,,,,
64G,674760.2256,1313771.062,790.324,3,,,,,
64G,674760.2256,1313771.062,450,3,,,,,
65G,674840.351,1299168.97,902,1,,,,,
65G,674840.351,1299168.97,841.04,3,,,,,
65G,674840.351,1299168.97,834.944,2,,,,,
65G,674840.351,1299168.97,834.844,3,,,,,
65G,674840.351,1299168.97,450,3,,,,,
66G,675062.7828,1297246.769,903,1,,,,,
66G,675062.7828,1297246.769,842.04,3,,,,,
66G,675062.7828,1297246.769,820.704,2,,,,,
66G,675062.7828,1297246.769,820.604,3,,,,,
66G,675062.7828,1297246.769,450,3,,,,,
67G,675116.5678,1309206.213,836,1,,,,,
67G,675116.5678,1309206.213,829.904,3,,,,,
67G,675116.5678,1309206.213,805.52,2,,,,,
67G,675116.5678,1309206.213,805.42,3,,,,,
67G,675116.5678,1309206.213,787.232,2,,,,,
67G,675116.5678,1309206.213,787.132,3,,,,,
67G,675116.5678,1309206.213,450,3,,,,,
68G,675318.7321,1317194.114,859,1,,,,,
68G,675318.7321,1317194.114,831.568,3,,,,,
68G,675318.7321,1317194.114,828.52,2,,,,,
68G,675318.7321,1317194.114,828.42,3,,,,,
68G,675318.7321,1317194.114,450,3,,,,,
69G,675365.7243,1306834.925,854,1,,,,,
69G,675365.7243,1306834.925,841.808,3,,,,,
69G,675365.7243,1306834.925,771.704,2,,,,,
69G,675365.7243,1306834.925,771.604,3,,,,,
69G,675365.7243,1306834.925,450,3,,,,,
70G,675378.2401,1328009.755,746,1,,,,,
70G,675378.2401,1328009.755,721.616,3,,,,,
70G,675378.2401,1328009.755,697.232,2,,,,,
70G,675378.2401,1328009.755,697.132,3,,,,,
70G,675378.2401,1328009.755,450,3,,,,,
71G,675384.7813,1330982.265,724,1,,,,,
71G,675384.7813,1330982.265,705.712,3,,,,,
